,index,Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,LowCI,HighCI,Confidence Interval,Quartile Range,Suppression Flag
15,15,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,8.1,6.9,9.4,6.9 - 9.4,23.8-25.9,
16,16,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,22.1,19.3,25.2,19.3 - 25.2,23.8-25.9,
17,17,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,17.4,14.9,20.1,14.9 - 20.1,23.8-25.9,
18,18,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,18.1,17.2,19.1,17.2 - 19.1,23.8-25.9,
19,19,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,21.0,20.2,21.8,20.2 - 21.8,23.8-25.9,
20,20,"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,19.4,19.0,19.9,19.0 - 19.9,23.8-25.9,
21,21,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,22.3,19.6,25.1,19.6 - 25.1,20.6-22.5,
22,22,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,16.7,14.2,19.5,14.2 - 19.5,12.2-18.4,
23,23,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,18.3,16.1,20.7,16.1 - 20.7,12.2-18.4,
24,24,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,24.1,20.8,27.7,20.8 - 27.7,22.6-26.8,
25,25,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,15.8,14.4,17.4,14.4 - 17.4,12.2-18.4,
26,26,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,17.0,15.1,19.1,15.1 - 19.1,12.2-18.4,
27,27,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,18.8,15.7,22.3,15.7 - 22.3,18.5-20.5,
28,28,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,19.8,16.4,23.6,16.4 - 23.6,18.5-20.5,
29,29,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,18.0,13.8,22.8,13.8 - 22.8,12.2-18.4,
30,30,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,19.0,16.4,21.7,16.4 - 21.7,18.5-20.5,
31,31,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,21.1,18.5,23.9,18.5 - 23.9,20.6-22.5,
32,32,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,12.2,9.8,15.0,9.8 - 15.0,12.2-18.4,
33,33,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,22.5,19.8,25.4,19.8 - 25.4,20.6-22.5,
34,34,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,17.2,14.9,19.6,14.9 - 19.6,12.2-18.4,
35,35,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,23.5,20.7,26.4,20.7 - 26.4,22.6-26.8,
36,36,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,23.1,19.9,26.5,19.9 - 26.5,22.6-26.8,
37,37,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,21.2,17.9,24.7,17.9 - 24.7,20.6-22.5,
38,38,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,26.8,23.0,30.9,23.0 - 30.9,22.6-26.8,
39,39,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,23.6,20.6,26.9,20.6 - 26.9,22.6-26.8,
40,40,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,23.1,19.4,27.1,19.4 - 27.1,22.6-26.8,
41,41,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,17.1,15.1,19.3,15.1 - 19.3,12.2-18.4,
42,42,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,19.9,18.0,21.9,18.0 - 21.9,18.5-20.5,
43,43,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,20.4,17.7,23.3,17.7 - 23.3,18.5-20.5,
44,44,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,20.6,18.3,23.0,18.3 - 23.0,20.6-22.5,
45,45,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,20.8,17.4,24.7,17.4 - 24.7,20.6-22.5,
46,46,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,23.7,21.0,26.6,21.0 - 26.6,22.6-26.8,
47,47,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,18.4,15.5,21.5,15.5 - 21.5,12.2-18.4,
48,48,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,23.6,20.1,27.3,20.1 - 27.3,22.6-26.8,
49,49,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,15.0,12.8,17.5,12.8 - 17.5,12.2-18.4,
50,50,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,21.1,17.4,25.2,17.4 - 25.2,20.6-22.5,
51,51,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,18.7,16.2,21.5,16.2 - 21.5,18.5-20.5,
52,52,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,18.5,15.5,21.9,15.5 - 21.9,18.5-20.5,
53,53,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,17.8,15.3,20.5,15.3 - 20.5,12.2-18.4,
54,54,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,19.4,16.7,22.3,16.7 - 22.3,18.5-20.5,
55,55,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,19.6,15.8,23.9,15.8 - 23.9,18.5-20.5,
56,56,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,21.7,18.4,25.4,18.4 - 25.4,20.6-22.5,
57,57,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,21.9,19.1,24.8,19.1 - 24.8,20.6-22.5,
58,58,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,22.9,20.1,25.9,20.1 - 25.9,22.6-26.8,
59,59,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,22.1,19.1,25.3,19.1 - 25.3,20.6-22.5,
60,60,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,23.1,19.4,27.2,19.4 - 27.2,22.6-26.8,
61,61,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,20.5,17.8,23.4,17.8 - 23.4,18.5-20.5,
62,62,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,17.8,14.2,21.7,14.2 - 21.7,12.2-18.4,
63,63,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,21.2,18.4,24.1,18.4 - 24.1,20.6-22.5,
64,64,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,16.4,14.4,18.5,14.4 - 18.5,12.2-18.4,
65,65,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,23.9,21.1,26.8,21.1 - 26.8,22.6-26.8,
66,66,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,23.2,18.5,28.5,18.5 - 28.5,22.6-26.8,
67,67,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,18.9,16.6,21.5,16.6 - 21.5,18.5-20.5,
68,68,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,20.9,19.3,22.6,19.3 - 22.6,20.6-22.5,
69,69,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,22.4,18.8,26.3,18.8 - 26.3,20.6-22.5,
70,70,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,19.7,17.3,22.2,17.3 - 22.2,18.5-20.5,
71,71,"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,18.7,15.0,22.7,15.0 - 22.7,18.5-20.5,
72,72,"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,8.7,8.3,9.2,8.3 - 9.2,23.8-25.9,
73,73,"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,12.2,10.9,13.7,10.9 - 13.7,23.8-25.9,
74,74,"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,11.7,11.0,12.6,11.0 - 12.6,23.8-25.9,
75,75,"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,10.0,9.4,10.5,9.4 - 10.5,23.8-25.9,
76,76,"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,8.4,7.6,9.2,7.6 - 9.2,23.8-25.9,
77,77,"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,5.4,4.9,6.0,4.9 - 6.0,23.8-25.9,
78,78,"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,4.1,3.4,5.0,3.4 - 5.0,23.8-25.9,
79,79,"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,3.0,2.0,4.4,2.0 - 4.4,23.8-25.9,
80,80,"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,6.7,6.2,7.3,6.2 - 7.3,23.8-25.9,
81,81,"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,10.6,10.1,11.2,10.1 - 11.2,23.8-25.9,
82,82,"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,4.8,4.5,5.1,4.5 - 5.1,23.8-25.9,
83,83,"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,15.7,14.8,16.6,14.8 - 16.6,23.8-25.9,
84,84,"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,7.3,6.2,8.4,6.2 - 8.4,23.8-25.9,
85,85,"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,9.4,8.9,9.8,8.9 - 9.8,23.8-25.9,
86,86,"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,7.7,6.7,8.7,6.7 - 8.7,23.8-25.9,
87,87,"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,6.2,5.1,7.5,5.1 - 7.5,23.8-25.9,
88,88,"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,10.6,9.0,12.4,9.0 - 12.4,23.8-25.9,
89,89,"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,7.1,5.6,8.8,5.6 - 8.8,23.8-25.9,
90,90,"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,6.6,5.9,7.5,5.9 - 7.5,23.8-25.9,
91,91,"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,8.7,8.0,9.4,8.0 - 9.4,23.8-25.9,
92,92,"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,11.1,10.6,11.5,10.6 - 11.5,23.8-25.9,
93,93,"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,8.5,6.5,10.9,6.5 - 10.9,7.2-8.7,
94,94,"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,7.5,6.2,9.0,6.2 - 9.0,7.2-8.7,
95,95,"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,7.3,5.6,9.3,5.6 - 9.3,7.2-8.7,
96,96,"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,6.1,4.4,8.1,4.4 - 8.1,4.9-7.1,
97,97,"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,9.5,8.1,11.0,8.1 - 11.0,8.8-10.0,
98,98,"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,10.1,8.4,12.1,8.4 - 12.1,10.1-19.1,
99,99,"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,12.3,9.7,15.3,9.7 - 15.3,10.1-19.1,
100,100,"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,10.0,7.4,13.0,7.4 - 13.0,8.8-10.0,
101,101,"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,19.1,13.9,25.3,13.9 - 25.3,10.1-19.1,
102,102,"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,7.8,6.4,9.5,6.4 - 9.5,7.2-8.7,
103,103,"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,7.9,5.9,10.2,5.9 - 10.2,7.2-8.7,
104,104,"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,11.9,8.4,16.1,8.4 - 16.1,10.1-19.1,
105,105,"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,8.3,6.5,10.4,6.5 - 10.4,7.2-8.7,
106,106,"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,8.8,7.2,10.7,7.2 - 10.7,8.8-10.0,
107,107,"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,6.8,5.2,8.7,5.2 - 8.7,4.9-7.1,
108,108,"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,8.1,6.6,9.7,6.6 - 9.7,7.2-8.7,
